playerId,player,team,position,age,exp,bye,lower,upper,sdPts,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,games,points,vor,vorLow,vorHigh,overallRank,positionRank,ptsGame,vorGame,vorGameLow,vorGameHigh,adp,auctionValue,adpDiff,cost,ppdollar
2562734,Devin Singletary,BUF,RB,50,1,NA,126.9695976,198.3740816,31.06607346,9.000241771,6,71.40448399,65.8,25.9,3.7,3.461529038,NA,16,167.4662215,63.67975264,41.59426577,82.54038496,28,21,10.46663884,3.97998454,2.599641611,5.079510426,61.07,14.225,-33.07,16,10.46663884
2495454,Julio Jones,ATL,WR,31,9,NA,166.1817988,190.171241,9.458941275,10.47157175,3,23.98944217,12.5,4,1.3,3.012085213,NA,16,184.2259061,63.28518051,66.17203689,51.99865843,29,4,11.51411913,3.886398748,4.135752306,3.249916152,15.11,38.6,13.89,43,4.284323397
2532975,Russell Wilson,SEA,QB,32,8,NA,382.1,420.1694985,16.93182728,22.86098305,2,38.06949851,59,4.4,1,3.655407106,NA,16,404.4418258,62.30583203,69.65161111,53.32792241,30,4,25.27761411,3.894114502,4.353225694,3.332995151,65.7567,15.375,-35.7567,17,23.79069563
2562502,David Montgomery,CHI,RB,50,1,NA,140.4853949,182.4737892,22.08033284,5.936612844,6,41.98839429,54.7,22.8,3.3,3.348250825,NA,16,161.412524,57.62605512,55.11006309,66.64009258,31,22,10.08828275,3.601628445,3.444378943,4.085742152,44.0333,15.125,-13.0333,16,10.08828275
2558266,George Kittle,SF,TE,27,3,NA,147.0452839,162.1829784,7.214136853,25.34389503,2,15.13769452,18.5,1.9,0.4,2.456412723,NA,16,154.8028986,56.1839088,64.49115172,49.32232307,32,2,9.675181161,3.5114943,4.030696983,3.082645192,25.2633,29.41,6.7367,30,5.160096619
2558052,Kenny Golladay,DET,WR,27,3,NA,158.9847988,189.4912398,13.69684152,3.838361318,4,30.50644099,17.6,6.7,1.5,3.043870245,NA,16,173.9750445,53.03431896,58.97503689,51.31865725,33,5,10.87344028,3.245719901,3.685939806,3.207416078,36.4167,25.28,-3.4167,26,6.691347867
2540165,DeAndre Hopkins,ARI,WR,28,7,NA,159.2076006,191.4035711,17.34622379,7.307346404,4,32.19597052,17.6,6.5,2.5,3.2027954,NA,16,173.5336241,52.59289857,59.19783868,53.23098856,34,6,10.84585151,3.218131127,3.699864918,3.326936785,11.9467,39.1,22.0533,40,4.338340604
2495466,Mark Ingram,BAL,RB,31,9,NA,142.465,165.0641697,10.36130891,9.057692616,7,22.59916975,51.6,21.7,4.1,3.57480725,NA,16,155.5194355,51.73296661,57.08966816,49.2304731,35,23,9.719964717,3.233310413,3.56810426,2.997640935,44.5933,14.415,-9.5933,15,10.36796236
2553728,Raheem Mostert,SF,RB,NA,NA,NA,133.4157973,174.5798997,21.9112974,18.55442144,7,41.16410235,62.5,25,3.7,3.461529038,NA,16,155.4323868,51.64591794,48.04046547,58.74620302,36,24,9.714524175,3.227869871,3.002529092,3.592374055,48.345,15.11,-12.345,16,9.714524175
2543468,Mike Evans,TB,WR,27,6,NA,141.6847988,189.4536325,19.05606589,3.386972758,4,47.76883372,22.7,9,2.9,3.266365462,NA,16,166.7397423,45.79901671,41.67503689,51.28104998,37,7,10.42123389,2.79351351,2.604689806,3.205065624,27.2433,24.39,9.7567,25,6.669589691
2558105,Chris Godwin,TB,WR,24,3,NA,150.861997,180.4170388,15.73661104,5.489540084,4,29.55504182,16.5,6.2,2.4,3.186902884,NA,16,165.7128132,44.77208762,50.8522351,42.24445629,38,8,10.35705083,2.729330442,3.178264694,2.640278518,29.4767,30.985,8.5233,31,5.345574619
2558063,Deshaun Watson,HOU,QB,25,3,NA,367.45,409.936134,19.57427847,10.02893924,2,42.48613405,63.9,5.6,1.4,4.099058005,NA,16,384.6109663,42.47497253,55.00161111,43.09455795,39,5,24.03818539,2.654685783,3.437600694,2.693409872,55.69,13.635,-16.69,14,27.47221188
2562238,A.J. Brown,TEN,WR,NA,1,NA,146.843997,178.9079309,13.91256774,1.654160404,4,32.06393389,NA,NA,NA,NA,NA,16,160.9927259,40.05200028,46.8342351,40.73534836,40,9,10.06204537,2.434324983,2.927139694,2.545959272,42.43,17.1,-2.43,18,8.944040325
2560789,Darius Leonard,IND,LB,NA,2,NA,384.36,411.8622807,15.38119061,28.02509943,1,27.50228069,NA,1,0,3.284877985,NA,16,201.3061301,38.98418614,107.75,53.69033089,41,1,12.58163313,2.436511634,6.734375,3.355645681,NA,NA,NA,1,201.3061301
2543496,Odell Beckham,CLE,WR,28,6,NA,145.0233979,178.7184009,16.43127246,1.098975387,5,33.69500295,31.7,13.1,3.8,3.409398102,NA,16,159.4538204,38.5130948,45.013636,40.54581832,42,10,9.965863774,2.338143391,2.81335225,2.534113645,26.72,23.62,15.28,24,6.643909182
2552487,Amari Cooper,DAL,WR,26,5,NA,150.5702545,174.5129439,12.65681063,2.460618863,5,23.94268932,29.2,11.7,3.4,3.34582804,NA,16,159.2233105,38.28258494,50.56049263,36.34036132,43,11,9.951456908,2.323736525,3.160030789,2.271272582,37.0367,18.995,5.9633,19,8.380174238
2558009,Budda Baker,ARI,DB,24,3,NA,283.7,362.659948,61.69914083,20.43175369,1,78.95994796,NA,1.9,1.2,3.501605739,NA,16,160.8696671,37.43182245,58.43333333,101.3493011,44,1,10.0543542,2.339488903,3.652083333,6.334331317,NA,NA,NA,1,160.8696671
2541785,Adam Thielen,MIN,WR,30,6,NA,146.7017123,168.720674,10.63092976,1.75730278,5,22.01896166,32.5,13.6,4,3.441183133,NA,16,157.4863795,36.54565389,46.6919504,30.54809143,45,12,9.842898716,2.215178334,2.9182469,1.909255714,33.4367,22.28,11.5633,23,6.84723389
2504775,Drew Brees,NO,QB,41,19,NA,353.35,400.6103018,19.91673491,8.390294977,3,47.26030179,90.3,10.2,2.1,4.582728215,NA,16,378.5507192,36.41472544,40.90161111,33.76872569,46,6,23.65941995,2.27592034,2.556350694,2.110545356,78.7433,7.405,-32.7433,8,47.3188399
2560888,Courtland Sutton,DEN,WR,25,2,NA,139.5274647,186.958319,22.72638654,0.652612656,5,47.43085428,47,20.9,5.4,3.66367835,NA,16,156.0390039,35.09827828,39.51770281,48.78573645,47,13,9.752437741,2.124717358,2.469856426,3.049108528,75.9333,12.44,-28.9333,13,12.0030003
2560813,D.J. Moore,CAR,WR,23,2,NA,135.8874888,180.4990678,20.4098327,0.667829505,5,44.61157902,35.4,14.9,4.4,3.504753195,NA,16,155.4191495,34.47842393,35.87772684,42.32648522,48,14,9.713696844,2.085976462,2.242357928,2.645405326,47.9867,20.59,0.0133,21,7.400911881
2557898,Cooper Kupp,LAR,WR,27,3,NA,137.2233061,171.9972879,15.69751995,1.217133245,5,34.77398179,41.7,18.6,4.3,3.48886068,NA,16,155.3536329,34.41290731,37.21354419,33.82470535,49,15,9.709602055,2.081881673,2.325846512,2.114044084,43.7067,16.58,5.2933,17,9.138448993
2560770,Ronald Jones,TB,RB,23,2,NA,110.5528003,153.4664693,17.34791248,7.405889957,8,42.91366904,86.8,31.4,6.1,4.141198313,NA,16,137.4910989,33.70463005,25.17746846,37.63277269,50,25,8.593193682,2.106539378,1.573591778,2.272784659,103.78,6.38,-53.78,7,19.64158556
2540169,Robert Woods,LAR,WR,28,7,NA,138.6182557,168.766645,12.83465785,0.935677919,5,30.14838927,40.9,17.9,4.7,3.552430742,NA,16,154.1490071,33.20828155,38.60849383,30.59406246,51,16,9.634312945,2.006592563,2.413030864,1.912128904,54.02,13.265,-3.02,14,11.01064337
2558149,JuJu Smith-Schuster,PIT,WR,24,3,NA,147.4815991,160.442165,9.050016461,2.052591965,5,12.96056594,33.9,14.2,3.7,3.393505586,NA,16,154.1239922,33.18326659,47.47183719,22.26958249,52,17,9.63274951,2.005029128,2.966989824,1.391848906,31.58,20.815,20.42,21,7.339237722
2557917,Kareem Hunt,CLE,RB,25,3,NA,109.223994,151.7505411,16.45032416,13.9834562,8,42.5265471,82.8,31,3.5,3.404889932,NA,16,136.2648318,32.47836296,23.8486622,35.9168445,53,26,8.516551989,2.029897685,1.490541387,2.165539147,78.5367,9.655,-25.5367,10,13.62648318
2552409,DeVante Parker,MIA,WR,27,5,NA,132.497997,171.5944725,19.56179324,0.975228669,5,39.09647547,51.8,23.4,4.3,3.48886068,NA,16,152.3026662,31.36194066,32.4882351,33.42188994,54,18,9.51891664,1.891196257,2.030514694,2.088868121,59.955,9.83,-5.955,10,15.23026662
